fold,held_out_dataset,trained_on,split,acc,prec_macro,rec_macro,f1_macro,logloss,mcc,kappa,auc_roc_macro,pr_auc,prec_weighted,rec_weighted,f1_weighted,auc_roc_micro,auc_roc_weighted,ppv_macro,npv_macro,ppv_weighted,npv_weighted,ppv_positive,npv_negative
fold_1,I23Sub,"K99Sub, NTD1, NTD2, WII21",VAL,0.9971,0.9921,0.9890,0.9905,0.0136,0.9810,0.9810,0.9961,0.9849,0.9971,0.9971,0.9971,0.9961,0.9961,0.9921,0.9921,0.9971,0.9870,0.9860,0.9981
fold_1,I23Sub,"K99Sub, NTD1, NTD2, WII21",TEST,0.9954,0.9926,0.9770,0.9847,0.0220,0.9695,0.9693,0.9949,0.9762,0.9954,0.9954,0.9954,0.9949,0.9949,0.9926,0.9926,0.9954,0.9898,0.9892,0.9959
fold_2,K99Sub,"I23Sub, NTD1, NTD2, WII21",VAL,0.9701,0.9704,0.9696,0.9699,0.1034,0.9399,0.9399,0.9923,0.9927,0.9701,0.9701,0.9701,0.9923,0.9923,0.9704,0.9704,0.9701,0.9706,0.9671,0.9736
fold_2,K99Sub,"I23Sub, NTD1, NTD2, WII21",TEST,0.9685,0.9694,0.9675,0.9683,0.1061,0.9369,0.9366,0.9915,0.9920,0.9687,0.9685,0.9685,0.9915,0.9915,0.9694,0.9694,0.9687,0.9700,0.9598,0.9790
fold_3,NTD1,"I23Sub, K99Sub, NTD2, WII21",VAL,0.9799,0.9356,0.9354,0.9355,0.0591,0.8710,0.8710,0.9924,0.9144,0.9799,0.9799,0.9799,0.9924,0.9924,0.9356,0.9356,0.9799,0.8913,0.8823,0.9890
fold_3,NTD1,"I23Sub, K99Sub, NTD2, WII21",TEST,0.9782,0.9305,0.9293,0.9299,0.0622,0.8598,0.8598,0.9918,0.9084,0.9782,0.9782,0.9782,0.9918,0.9918,0.9305,0.9305,0.9782,0.8828,0.8730,0.9880
fold_4,NTD2,"I23Sub, K99Sub, NTD1, WII21",VAL,0.9808,0.9807,0.9807,0.9807,0.0771,0.9614,0.9614,0.9953,0.9938,0.9808,0.9808,0.9808,0.9953,0.9953,0.9807,0.9807,0.9808,0.9806,0.9790,0.9824
fold_4,NTD2,"I23Sub, K99Sub, NTD1, WII21",TEST,0.9835,0.9833,0.9837,0.9835,0.0710,0.9670,0.9669,0.9954,0.9937,0.9836,0.9835,0.9835,0.9954,0.9954,0.9833,0.9833,0.9836,0.9830,0.9786,0.9880
fold_5,WII21,"I23Sub, K99Sub, NTD1, NTD2",VAL,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
fold_5,WII21,"I23Sub, K99Sub, NTD1, NTD2",TEST,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
summary,global_weighted,all leave-one-dataset-out folds,VAL,0.9944,0.9846,0.9845,0.9845,0.0174,0.9691,0.9691,0.9980,0.9806,0.9944,0.9944,0.9944,0.9980,0.9980,0.9846,0.9846,0.9944,0.9747,0.9726,0.9966
summary,global_weighted,all leave-one-dataset-out folds,TEST,0.9941,0.9835,0.9830,0.9833,0.0180,0.9666,0.9666,0.9978,0.9791,0.9941,0.9941,0.9941,0.9978,0.9978,0.9835,0.9835,0.9941,0.9730,0.9705,0.9966
