variant,hash_buckets,split,dataset,shared_categorical_features,acc,prec_macro,rec_macro,f1_macro,logloss,mcc,kappa,auc_roc_macro,pr_auc,prec_weighted,rec_weighted,f1_weighted,auc_roc_micro,auc_roc_weighted,ppv_macro,npv_macro,ppv_weighted,npv_weighted,ppv_positive,npv_negative
hash_1024,1024,VAL,I23Sub,0,0.9905,0.9949,0.9427,0.9670,0.1059,0.9361,0.9341,0.9935,0.9703,0.9906,0.9905,0.9902,0.9935,0.9935,0.9949,0.9949,0.9906,0.9991,1.0000,0.9897
hash_1024,1024,TEST,I23Sub,0,0.9879,0.9935,0.9273,0.9575,0.1080,0.9184,0.9151,0.9911,0.9609,0.9881,0.9879,0.9875,0.9911,0.9911,0.9935,0.9935,0.9881,0.9989,1.0000,0.9870
hash_1024,1024,VAL,K99Sub,1,0.9103,0.9196,0.9056,0.9087,0.2749,0.8250,0.8182,0.9787,0.9780,0.9163,0.9103,0.9095,0.9787,0.9787,0.9196,0.9196,0.9163,0.9228,0.8720,0.9671
hash_1024,1024,TEST,K99Sub,1,0.9106,0.9200,0.9058,0.9090,0.2737,0.8257,0.8187,0.9800,0.9801,0.9168,0.9106,0.9098,0.9800,0.9800,0.9200,0.9200,0.9168,0.9233,0.8716,0.9684
hash_1024,1024,VAL,NTD1,2,0.9150,0.4575,0.5000,0.4778,0.1647,0.0000,0.0000,0.9832,0.8540,0.8372,0.9150,0.8744,0.9832,0.9832,0.4575,0.4575,0.8372,0.0778,0.0000,0.9150
hash_1024,1024,TEST,NTD1,2,0.9150,0.4575,0.5000,0.4778,0.1728,0.0000,0.0000,0.9819,0.8426,0.8372,0.9150,0.8744,0.9819,0.9819,0.4575,0.4575,0.8372,0.0778,0.0000,0.9150
hash_1024,1024,VAL,NTD2,0,0.8600,0.8671,0.8559,0.8580,0.4989,0.7229,0.7170,0.9236,0.9169,0.8649,0.8600,0.8590,0.9236,0.9236,0.8671,0.8671,0.8649,0.8693,0.9054,0.8288
hash_1024,1024,TEST,NTD2,0,0.8608,0.8703,0.8560,0.8583,0.5003,0.7262,0.7181,0.9220,0.9131,0.8676,0.8608,0.8594,0.9220,0.9220,0.8703,0.8703,0.8676,0.8731,0.9171,0.8236
hash_1024,1024,VAL,WII21,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
hash_1024,1024,TEST,WII21,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
hash_1024,1024,VAL,global_weighted,3,0.9751,0.8745,0.8825,0.8781,0.0587,0.7664,0.7660,0.9933,0.9642,0.9581,0.9751,0.9660,0.9933,0.9933,0.8745,0.8745,0.9581,0.7908,0.7741,0.9749
hash_1024,1024,TEST,global_weighted,3,0.9750,0.8746,0.8823,0.8780,0.0606,0.7662,0.7658,0.9930,0.9615,0.9582,0.9750,0.9660,0.9930,0.9930,0.8746,0.8746,0.9582,0.7909,0.7745,0.9747
hash_8192,8192,VAL,I23Sub,1,0.9931,0.9963,0.9583,0.9764,0.2225,0.9538,0.9528,0.9816,0.9797,0.9931,0.9931,0.9930,0.9816,0.9816,0.9963,0.9963,0.9931,0.9994,1.0000,0.9925
hash_8192,8192,TEST,I23Sub,1,0.9931,0.9963,0.9585,0.9765,0.2238,0.9540,0.9529,0.9693,0.9675,0.9931,0.9931,0.9930,0.9693,0.9693,0.9963,0.9963,0.9931,0.9994,1.0000,0.9925
hash_8192,8192,VAL,K99Sub,1,0.9071,0.9075,0.9094,0.9070,0.3820,0.8169,0.8144,0.9729,0.9690,0.9101,0.9071,0.9072,0.9729,0.9729,0.9075,0.9075,0.9101,0.9049,0.9460,0.8691
hash_8192,8192,TEST,K99Sub,1,0.9074,0.9083,0.9100,0.9073,0.3759,0.8183,0.8150,0.9768,0.9743,0.9112,0.9074,0.9075,0.9768,0.9768,0.9083,0.9083,0.9112,0.9054,0.9508,0.8658
hash_8192,8192,VAL,NTD1,2,0.9669,0.9434,0.8329,0.8786,0.1324,0.7684,0.7577,0.9751,0.7999,0.9657,0.9669,0.9645,0.9751,0.9751,0.9434,0.9434,0.9657,0.9211,0.9165,0.9702
hash_8192,8192,TEST,NTD1,2,0.9641,0.9402,0.8164,0.8660,0.1396,0.7464,0.7327,0.9736,0.7883,0.9627,0.9641,0.9612,0.9736,0.9736,0.9402,0.9402,0.9627,0.9177,0.9131,0.9673
hash_8192,8192,VAL,NTD2,0,0.7951,0.8440,0.8060,0.7910,0.5177,0.6489,0.5981,0.9370,0.8937,0.8525,0.7951,0.7893,0.9370,0.9370,0.8440,0.8440,0.8525,0.8355,0.6988,0.9892
hash_8192,8192,TEST,NTD2,0,0.7922,0.8420,0.8032,0.7880,0.5160,0.6441,0.5926,0.9442,0.9074,0.8506,0.7922,0.7862,0.9442,0.9442,0.8420,0.8420,0.8506,0.8335,0.6960,0.9880
hash_8192,8192,VAL,WII21,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
hash_8192,8192,TEST,WII21,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
hash_8192,8192,VAL,global_weighted,4,0.9843,0.9808,0.9547,0.9645,0.0555,0.9337,0.9296,0.9917,0.9515,0.9860,0.9843,0.9836,0.9917,0.9917,0.9808,0.9808,0.9860,0.9756,0.9707,0.9910
hash_8192,8192,TEST,global_weighted,4,0.9836,0.9801,0.9509,0.9616,0.0569,0.9287,0.9239,0.9915,0.9493,0.9853,0.9836,0.9828,0.9915,0.9915,0.9801,0.9801,0.9853,0.9748,0.9699,0.9902
