variant,split,dataset,cross_features_generated,acc,prec_macro,rec_macro,f1_macro,logloss,mcc,kappa,auc_roc_macro,pr_auc,prec_weighted,rec_weighted,f1_weighted,auc_roc_micro,auc_roc_weighted,ppv_macro,npv_macro,ppv_weighted,npv_weighted,ppv_positive,npv_negative
no_cross_features,VAL,I23Sub,0,0.9171,0.4585,0.5000,0.4784,0.1072,0.0000,0.0000,0.9984,0.9865,0.8410,0.9171,0.8774,0.9984,0.9984,0.4585,0.4585,0.8410,0.0761,0.0000,0.9171
no_cross_features,TEST,I23Sub,0,0.9171,0.9585,0.5017,0.4818,0.1101,0.0563,0.0063,0.9955,0.9878,0.9239,0.9171,0.8777,0.9955,0.9955,0.9585,0.9585,0.9239,0.9931,1.0000,0.9170
no_cross_features,VAL,K99Sub,0,0.8746,0.9039,0.8656,0.8698,0.3608,0.7685,0.7437,0.9717,0.9674,0.8975,0.8746,0.8715,0.9717,0.9717,0.9039,0.9039,0.8975,0.9102,0.8108,0.9969
no_cross_features,TEST,K99Sub,0,0.8748,0.9048,0.8658,0.8700,0.3611,0.7696,0.7442,0.9703,0.9666,0.8984,0.8748,0.8717,0.9703,0.9703,0.9048,0.9048,0.8984,0.9111,0.8103,0.9992
no_cross_features,VAL,NTD1,0,0.9659,0.9349,0.8335,0.8760,0.1814,0.7616,0.7524,0.9682,0.8128,0.9644,0.9659,0.9636,0.9682,0.9682,0.9349,0.9349,0.9644,0.9054,0.8993,0.9704
no_cross_features,TEST,NTD1,0,0.9631,0.9309,0.8172,0.8635,0.1943,0.7394,0.7276,0.9651,0.7972,0.9613,0.9631,0.9603,0.9651,0.9651,0.9309,0.9309,0.9613,0.9005,0.8942,0.9675
no_cross_features,VAL,NTD2,0,0.5291,0.2646,0.4999,0.3460,0.5879,-0.0103,-0.0002,0.9284,0.9074,0.2801,0.5291,0.3663,0.9284,0.9284,0.2646,0.2646,0.2801,0.2491,0.0000,0.5292
no_cross_features,TEST,NTD2,0,0.5290,0.2646,0.4998,0.3460,0.5881,-0.0146,-0.0005,0.9285,0.9086,0.2801,0.5290,0.3662,0.9285,0.9285,0.2646,0.2646,0.2801,0.2491,0.0000,0.5291
no_cross_features,VAL,WII21,0,1.0000,1.0000,0.9998,0.9999,0.0002,0.9998,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
no_cross_features,TEST,WII21,0,1.0000,1.0000,0.9997,0.9998,0.0004,0.9997,0.9997,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
no_cross_features,VAL,global_weighted,0,0.9736,0.9520,0.9374,0.9414,0.0668,0.8960,0.8939,0.9901,0.9549,0.9642,0.9736,0.9671,0.9901,0.9901,0.9520,0.9520,0.9642,0.9398,0.9275,0.9765
no_cross_features,TEST,global_weighted,0,0.9730,0.9581,0.9337,0.9387,0.0699,0.8916,0.8884,0.9894,0.9515,0.9647,0.9730,0.9663,0.9894,0.9894,0.9581,0.9581,0.9647,0.9514,0.9402,0.9759
pairwise_cross_only,VAL,I23Sub,15,0.9522,0.9752,0.7118,0.7849,0.1469,0.6345,0.5741,0.9998,0.9977,0.9546,0.9522,0.9431,0.9998,0.9998,0.9752,0.9752,0.9546,0.9959,1.0000,0.9504
pairwise_cross_only,TEST,I23Sub,15,0.9531,0.9756,0.7180,0.7911,0.1434,0.6440,0.5863,0.9974,0.9905,0.9553,0.9531,0.9444,0.9974,0.9974,0.9756,0.9756,0.9553,0.9959,1.0000,0.9513
pairwise_cross_only,VAL,K99Sub,3,0.9378,0.9407,0.9355,0.9372,0.3712,0.8761,0.8745,0.9730,0.9681,0.9391,0.9378,0.9376,0.9730,0.9730,0.9407,0.9407,0.9391,0.9422,0.9183,0.9630
pairwise_cross_only,TEST,K99Sub,3,0.9357,0.9389,0.9332,0.9350,0.3748,0.8721,0.8702,0.9708,0.9637,0.9373,0.9357,0.9355,0.9708,0.9708,0.9389,0.9389,0.9373,0.9406,0.9145,0.9634
pairwise_cross_only,VAL,NTD1,3,0.9669,0.9434,0.8329,0.8786,0.1635,0.7684,0.7577,0.9675,0.7884,0.9657,0.9669,0.9645,0.9675,0.9675,0.9434,0.9434,0.9657,0.9211,0.9165,0.9702
pairwise_cross_only,TEST,NTD1,3,0.9641,0.9402,0.8164,0.8660,0.1718,0.7464,0.7327,0.9664,0.7756,0.9627,0.9641,0.9612,0.9664,0.9664,0.9402,0.9402,0.9627,0.9177,0.9131,0.9673
pairwise_cross_only,VAL,NTD2,15,0.8283,0.8600,0.8370,0.8265,0.6041,0.6967,0.6617,0.9700,0.9555,0.8672,0.8283,0.8255,0.9700,0.9700,0.8600,0.8600,0.8672,0.8529,0.7375,0.9826
pairwise_cross_only,TEST,NTD2,15,0.8200,0.8553,0.8293,0.8179,0.6064,0.6841,0.6458,0.9708,0.9554,0.8628,0.8200,0.8167,0.9708,0.9708,0.8553,0.8553,0.8628,0.8478,0.7278,0.9828
pairwise_cross_only,VAL,WII21,10,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
pairwise_cross_only,TEST,WII21,10,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
pairwise_cross_only,VAL,global_weighted,46,0.9853,0.9816,0.9527,0.9635,0.0640,0.9318,0.9274,0.9914,0.9513,0.9864,0.9853,0.9846,0.9914,0.9914,0.9816,0.9816,0.9864,0.9767,0.9715,0.9916
pairwise_cross_only,TEST,global_weighted,46,0.9844,0.9807,0.9488,0.9604,0.0659,0.9265,0.9214,0.9911,0.9483,0.9856,0.9844,0.9835,0.9911,0.9911,0.9807,0.9807,0.9856,0.9758,0.9704,0.9910
