variant,split,dataset,cross_features_generated,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
no_cross_features,VAL,I23Sub,0,0.9170506912442397,0.45852534562211983,0.5,0.47836538461538464,0.8409819703115378,0.9170506912442397,0.8773706132577102,0.10719499104503348,0.0,0.0,0.9984045662339475,0.9984045662339475,0.9984045662339475,0.9865020447783158,0.45852534562211983,0.45852534562211983,0.8409819703115378,0.07606872093270191,0.0,0.9170506912442397
no_cross_features,TEST,I23Sub,0,0.9170506912442397,0.9585133967156438,0.5017301038062284,0.48180715773763255,0.9239332613743632,0.9170506912442397,0.8776571847546412,0.1100612671537363,0.05633030349161757,0.006326132711651056,0.9954537894328326,0.9954537894328326,0.9954537894328326,0.9878196925526839,0.9585133967156438,0.9585133967156438,0.9239332613743632,0.9930935320569246,1.0,0.9170267934312878
no_cross_features,VAL,K99Sub,0,0.8745699920613919,0.9038501234153409,0.865562014554979,0.8698043743211278,0.8975212808939238,0.8745699920613919,0.871498376754389,0.3608080130079994,0.7684588855468818,0.7436548622895819,0.9716939931305362,0.9716939931305362,0.9716939931305362,0.9673514769427063,0.9038501234153409,0.9038501234153409,0.8975212808939238,0.9101789659367578,0.8107890499194848,0.9969111969111969
no_cross_features,TEST,K99Sub,0,0.8748346123313046,0.9047573978645134,0.8658134010738462,0.8700379859623892,0.8983828696180906,0.8748346123313046,0.8717227514225454,0.36105864778613267,0.7695860713984306,0.7442018614434323,0.9703206625634434,0.9703206625634434,0.9703206625634434,0.9666376317209024,0.9047573978645134,0.9047573978645134,0.8983828696180906,0.9111319261109363,0.8102893890675241,0.9992254066615027
no_cross_features,VAL,NTD1,0,0.96587142003152,0.9348580762215939,0.8334523345323834,0.8760165166139482,0.9643571607335826,0.96587142003152,0.9636228964349871,0.18142107026627902,0.7615889723633127,0.7524411771258755,0.968225947778748,0.968225947778748,0.968225947778748,0.8127735010633145,0.9348580762215939,0.9348580762215939,0.9643571607335826,0.9053589917096054,0.8993174061433447,0.9703987462998432
no_cross_features,TEST,NTD1,0,0.9630636016158542,0.9308846629038089,0.8171663352998224,0.8635342605099996,0.9613016634808503,0.9630636016158542,0.9602620693816893,0.19434033970517203,0.7393567730672397,0.7276499718533844,0.9651482599623199,0.9651482599623199,0.9651482599623199,0.7971735297465327,0.9308846629038089,0.9308846629038089,0.9613016634808503,0.9004676623267673,0.8942364824717766,0.9675328433358412
no_cross_features,VAL,NTD2,0,0.5291378074994029,0.26460050161232535,0.49988718411552346,0.3460367044123389,0.28008345429802384,0.5291378074994029,0.36628485167315167,0.5879147488720137,-0.010306658549876974,-0.00023883094252985515,0.9284065016750097,0.9284065016750097,0.9284065016750097,0.9074418026521877,0.26460050161232535,0.26460050161232535,0.28008345429802384,0.24911754892662683,0.0,0.5292010032246507
no_cross_features,TEST,NTD2,0,0.5290183902555529,0.26457238413760154,0.49977436823104693,0.34598562949078415,0.28005369154474563,0.5290183902555529,0.3662307881306796,0.5880805195737087,-0.014576686787804213,-0.0004776547949294496,0.9285443591370907,0.9285443591370907,0.9285443591370907,0.9086387841732483,0.26457238413760154,0.26457238413760154,0.28005369154474563,0.24909107673045744,0.0,0.5291447682752031
no_cross_features,VAL,WII21,0,0.9999776748339566,0.9999879605829486,0.9998467785183482,0.9999173577379636,0.9999776753715206,0.9999776748339566,0.9999776732577396,0.00016931337115843015,0.9998347291334618,0.9998347154762324,0.9999999976940728,0.9999999976940728,0.9999999976940728,0.9999999998188058,0.9999879605829486,0.9999879605829486,0.9999776753715206,0.9999982457943766,0.9999759211658972,1.0
no_cross_features,TEST,WII21,0,0.9999553496679131,0.9999759218906131,0.9996935335580754,0.9998346804592233,0.9999553518181042,0.9999553496679131,0.9999553433614622,0.0004427043323737718,0.9996694155639189,0.9996693609208872,0.9999999903144221,0.9999999903144221,0.9999999903144221,0.9999999992389971,0.9999759218906131,0.9999759218906131,0.9999553518181042,0.999996491963122,0.9999518437812263,1.0
no_cross_features,VAL,global_weighted,0,0.9736277890223122,0.9520005259889909,0.937386021740615,0.9414456094098506,0.9642415123641099,0.9736277890223122,0.9670788044399811,0.06681731780150114,0.896007498579986,0.8939498237067331,0.9901357006100383,0.9901357006100383,0.9901357006100383,0.9548764771437364,0.9520005259889909,0.9520005259889909,0.9642415123641099,0.9397595396138718,0.9275061255940871,0.9764949263838946
no_cross_features,TEST,global_weighted,0,0.9729917839342714,0.9580711759138677,0.9337040693837412,0.9386797220089172,0.9647148812196792,0.9729917839342714,0.966326244726161,0.06991515423494518,0.8916361752197804,0.8884452038749693,0.9893989770457644,0.9893989770457644,0.9893989770457644,0.9514793917860621,0.9580711759138677,0.9580711759138677,0.9647148812196792,0.9514274706080562,0.9402474899537514,0.975894861873984
pairwise_cross_only,VAL,I23Sub,15,0.9521889400921659,0.9752238805970149,0.7118055555555556,0.7848581901796979,0.9545580851502854,0.9521889400921659,0.9431174494045534,0.14688282470080763,0.6345236261735815,0.57409728298139,0.9997644472361809,0.9997644472361809,0.9997644472361809,0.9976791381245403,0.9752238805970149,0.9752238805970149,0.9545580851502854,0.9958896760437445,1.0,0.9504477611940298
pairwise_cross_only,TEST,I23Sub,15,0.9530529953917051,0.9756425582785415,0.7179930795847751,0.7911316886476831,0.9553400132491923,0.9530529953917051,0.9444193110608985,0.14339287495717268,0.644008652304362,0.5863198182525226,0.9973801129921392,0.9973801129921392,0.9973801129921392,0.9905010723240535,0.9756425582785415,0.9756425582785415,0.9553400132491923,0.9959451033078908,1.0,0.951285116557083
pairwise_cross_only,VAL,K99Sub,3,0.9378142365705213,0.9406668151148329,0.9354822778975591,0.9372123370706934,0.9391489834670315,0.9378142365705213,0.9376304132097631,0.3711526884313322,0.8761337533506398,0.8745379399592137,0.9730095241632801,0.9730095241632801,0.9730095241632801,0.9680767527801064,0.9406668151148329,0.9406668151148329,0.9391489834670315,0.9421846467626342,0.9183481933364618,0.9629854368932039
pairwise_cross_only,TEST,K99Sub,3,0.9356972744112199,0.9389391468470061,0.9331967999585813,0.9350474046568398,0.9372890920144203,0.9356972744112199,0.9354858088562231,0.37484050468619085,0.8721170421237573,0.8702336720062325,0.9708482439558869,0.9708482439558869,0.9708482439558869,0.9636960910835294,0.9389391468470061,0.9389391468470061,0.9372890920144203,0.9405892016795919,0.9144859813084112,0.963392312385601
pairwise_cross_only,VAL,NTD1,3,0.9668858576526638,0.943376042118117,0.8329433483912065,0.8786402728511622,0.9656657815593693,0.9668858576526638,0.9645350416149971,0.1634823360603312,0.7684246327630226,0.757738703234127,0.9674822166562591,0.9674822166562591,0.9674822166562591,0.7883863424190514,0.943376042118117,0.943376042118117,0.9656657815593693,0.9210863026768648,0.91652123327516,0.9702308509610741
pairwise_cross_only,TEST,NTD1,3,0.9640961541945184,0.9402262990528274,0.8163775832133378,0.8660463825262468,0.9627103177413177,0.9640961541945184,0.9611647714086115,0.17177566317608398,0.7463986403023136,0.7327451187911117,0.966363608980852,0.966363608980852,0.966363608980852,0.7756478804228523,0.9402262990528274,0.9402262990528274,0.9627103177413177,0.9177422803643372,0.9131362389515392,0.9673163591541157
pairwise_cross_only,VAL,NTD2,15,0.8282780033436828,0.8600364540376808,0.8370135008159834,0.826532540220388,0.867207717097616,0.8282780033436828,0.8255143533984661,0.60406942862504,0.6966696370493313,0.6616859193852556,0.9700303830176549,0.9700303830176549,0.9700303830176549,0.9555323012965213,0.8600364540376808,0.8600364540376808,0.867207717097616,0.8528651909777458,0.7374810318664643,0.9825918762088974
pairwise_cross_only,TEST,NTD2,15,0.820038213518032,0.8553077963842506,0.8292572513540195,0.8178732560674035,0.8627698411184679,0.820038213518032,0.8167113402395743,0.6063865566915332,0.6840692024119548,0.6458084369636972,0.9708340888735034,0.9708340888735034,0.9708340888735034,0.955387378734186,0.8553077963842506,0.8553077963842506,0.8627698411184679,0.8478457516500335,0.7277829747427502,0.9828326180257511
pairwise_cross_only,VAL,WII21,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.827057882920576e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pairwise_cross_only,TEST,WII21,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8283375518474956e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pairwise_cross_only,VAL,global_weighted,46,0.9853318826550612,0.9815674130469433,0.9526744179318898,0.9634545697649674,0.9864195523266626,0.9853318826550612,0.9845914535855637,0.06399663001062643,0.9317563821592773,0.927361627553752,0.9914044927802718,0.9914044927802718,0.9914044927802718,0.9512685012197714,0.9815674130469433,0.9815674130469433,0.9864195523266626,0.9767152737672241,0.9715390748084262,0.9915957512854605
pairwise_cross_only,TEST,global_weighted,46,0.9844198753590029,0.9806932130329558,0.9488080489776969,0.9604380133684581,0.9856010381063997,0.9844198753590029,0.9835380457399935,0.06591281178847962,0.9265416842718451,0.921415547721358,0.9911186258810658,0.9911186258810658,0.9911186258810658,0.9482849106945518,0.9806932130329558,0.9806932130329558,0.9856010381063997,0.975785387959512,0.970408391077937,0.9909780349879745
